Linha,Entidade,Toque,Ponto
Malandro,Malandro,Samba,"Malandro te digo meu irmão, que essa nega mexeu com meu coração
Eu hoje vou subir lá na favela, vou dizer para o pai dela que me apaixonei por ela
Malandro eu posso até correr perigo mas se eu descer do morro, essa nega desce comigo"
Malandro,Zé Pelintra,Samba,"Ô Zé, quando vem de Alagoas, toma cuidado com o balanço da canoa (2x)
Ô Zé, faça tudo que quiser, só não maltrate o coração dessa mulher (2x)"
Malandro,Zé Pelintra,Samba,"Joguei meu limão na água, de pesado foi ao fundo
Tirei carta de malandro profissão de vagabundo (2x)
De manhã quando eu desço a ladeira a nega pensa que eu vou trabalhar (2x)
Eu boto meu baralho no bolso meu cachecol no pescoço e vou pra barão de Mauá (2x)
Trabalhar, trabalhar pra que? Se eu trabalhar eu vou morrer"
Malandro,Zé Pelintra,Samba,"Zé Pelintra, Zé Pelintra nego do chapéu de lado 
Na direita ele é maneiro, na esquerda ele é pesado (2x)
Amigo meu camarada, não ponha a mão em cumbuca
Quem mexer com Zé Pelintra, vai ficar lelé da cuca (2x)"
Malandro,Zé Pelintra,Samba,"Boa noite, pra quem é de boa noite, bom dia, pra quem é de bom dia (2x)
A bênção, meu pai a bênção, seu Zé Pelintra é o rei da boemia (2x)"
Malandro,Zé Pelintra,Samba,"Mulher, mulher, não tenha medo do seu marido (2x)
Se ele é bom na faca, Eu sou no facão
Se ele é bom na reza, Eu na oração
Se ele diz que sim, Eu digo que não
Eu sou Zé Pelintra, E ele é Lampião"
Malandro,Zé Pelintra,Samba,"Oi Zé, oi zé, mas que Zé enganador (2x)
Enganou moça bonita com palavras de amor
Não foi eu que enganei ela, ela mesmo se enganou"
Malandro,Zé Pelintra,Samba,"É Seu Zé que tá chegando, Zé Pelintra aqui chegou
Eita Zé que é arretado, Oxalá quem te mandou

Pai Ogum é seu amigo, pela esquerda ele andou
Bebeu cachaça com Exu, com Pomba Gira ele dançou

É Seu Zé que tá chegando, Zé Pelintra aqui chegou
Eita Zé que é arretado, Oxalá quem te mandou

Ele quebra a demanda, catimbó despedaçou
Eita seu Zé que é mulherengo, ""Zé Pelintra"". é do amor"
Preto Velho,Preto Velho,Samba,"Preto velho senta no toco faz o sinal da cruz pede proteção a Zambi para os filhos de Jesus 
Cada conta do seu rosário é um filho que ali está 
Se não fosse os pretos velhos não sabia caminhar"
Preto Velho,Preto Velho,Samba,"Vovó não quer casca de coco no terreiro (2x)
Pra não lembrar dos tempos do cativeiro (2x)"
Preto Velho,Preto Velho,Nago,"Pai Joaquim, cadê pai Mané? Pai Mané foi na mata apanhar guiné (2x)
Diga a ele que quando vier que suba a escada e não bata o pé! (2x)
Pai Joaquim ee, pai Joaquim ea… pai Joaquim veio de Angola..."
Preto Velho,Mãe Maria de Minas,Samba,"Salve Mãe Maria de Minas Mãe Maria de Minas Gerais (2x)
Preta velha rezadeira qualquer nó ela desfaz 
Preta velha mirongueira é a razão da minha paz (2x)
Da sua urucaia ela traz um cachimbo que vence demanda,
Sete pembas, rosas brancas, um rosário de guiné,
No cruzeiro abençoado trabalha pra quem tem fé (2x)"
Preto Velho,Preto Velho,Congo,"Preto velho quando tem luz ele entra em qualquer lugar (2x)
Pede licença a Zambi no terreiro, saravá coroa, vamos trabalhar (2x)"
Preto Velho,Preto Velho,Samba,"No tempo do cativeiro pai João era feitor (2x)
Todo mundo apanhava, ai que dó só pai João não apanhou (2x)"
